test	ic	split	mode	plotfile	log
1	0	x	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic0_uniform00862	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic0_uniform.log
1	0	x	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic0_amr00431	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic0_amr.log
1	1	y	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic1_uniform00862	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic1_uniform.log
1	1	y	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic1_amr00431	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic1_amr.log
1	2	diag	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic2_uniform00967	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic2_uniform.log
1	2	diag	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t1_ic2_amr00485	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t1_ic2_amr.log
2	0	x	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t2_ic0_uniform00525	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t2_ic0_uniform.log
2	0	x	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t2_ic0_amr00263	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t2_ic0_amr.log
2	1	y	uniform	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t2_ic1_uniform00525	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t2_ic1_uniform.log
2	1	y	amr	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/plotfiles/plt_t2_ic1_amr00263	/Users/yuyangjiao/amrex_project/amrex-tutorials/ExampleCodes/Amr/Euler_AmrLevel/Exec/Euler1D/results_task2_2d_fullmatrix_20260302_1957/logs/run_t2_ic1_amr.log
