mode,test,effective_n,rho,u,p,eint,order_from_prev,ord_rho,ord_u,ord_p,ord_eint
amr,1,100,0.009193747329659337,0.015394676675546191,0.006876407972189153,0.03676210876575957,,,,,
amr,1,200,0.0045594014112696245,0.007116325131008268,0.0032235109209615477,0.01989690419161516,100->200,1.0118085871718956,1.1132272365639178,1.093022270168246,0.885675549815809
amr,1,400,0.0026122854549622226,0.0039339543317321885,0.001627501966994267,0.012206083755786103,200->400,0.8035318755609193,0.8551522161953706,0.9859735841854909,0.7049435806991632
amr,2,100,0.02009238936361499,0.05688064667799632,0.01208041628129448,0.1509587626836766,,,,,
amr,2,200,0.009503131513990508,0.014963958102289695,0.0047078185374350035,0.08322128681221937,100->200,1.0801742377301138,1.9264460355060615,1.3595395516418498,0.859130001820589
amr,2,400,0.008583884722237615,0.016382214026540404,0.004151909503818103,0.07560548493108735,200->400,0.14677229357918276,-0.13063851618286457,0.1812837142063067,0.1384616952225013
amr,3,100,0.15885601641103864,0.4251066080748601,9.326787875866296,87.24257506841217,,,,,
amr,3,200,0.11491823002610986,0.3522035543973665,7.296371048510235,44.72773300705412,100->200,0.46711205307064135,0.2714152163886816,0.3542012078311878,0.9638627152318655
amr,3,400,0.06340215006345332,0.21920341014953348,4.974367481558508,30.169814185746407,200->400,0.8580040074310417,0.6841392262599133,0.5526660073212316,0.5680638272047712
amr,4,100,0.16657316815106632,0.21635998333477544,1.4451607493933816,7.279714695066454,,,,,
amr,4,200,0.10845932872575877,0.10183931349362864,0.6724229242620523,4.106313184700983,100->200,0.6190018816015523,1.0871390924094895,1.1037891618504176,0.8260382450973438
amr,4,400,0.06300578891894641,0.07075902895303823,0.5016589345679896,3.052609341771977,200->400,0.7835978529718076,0.5253084443217597,0.4226620648351468,0.4278006924554628
amr,5,100,0.7003483148437303,0.19478714709076958,27.77857821046435,6.413040669006876,,,,,
amr,5,200,0.36461429376759097,0.091199817313776,9.114646076862437,3.5586937334362068,100->200,0.9417014982956156,1.0947956456404004,1.607714217433284,0.8496607785415259
amr,5,400,0.21160415874658756,0.038695388971296485,4.9485419208806105,2.24982086700901,200->400,0.7850031380118158,1.2368692726106856,0.8811831370121888,0.6615376404825899
uniform,1,100,0.009193747329659337,0.015394676675546191,0.006876407972189153,0.03676210876575957,,,,,
uniform,1,200,0.0058395465831158,0.011620592534806311,0.004777159694321066,0.024433350276611487,100->200,0.6547966632434508,0.40574793397194103,0.5255020363228368,0.5893678274937689
uniform,1,400,0.005165609598337323,0.009394339919659402,0.004629287576629495,0.017630933124850267,200->400,0.1769177411856366,0.306819932395219,0.04536291778332038,0.47074286612842337
uniform,2,100,0.02009238936361499,0.05688064667799632,0.01208041628129448,0.1509587626836766,,,,,
uniform,2,200,0.017599531603065696,0.03809127622882597,0.00886878495069741,0.09761590555752427,100->200,0.191112104650571,0.5784772416250925,0.44586179984870655,0.628966358106159
uniform,2,400,0.012999700194649091,0.03006546160212352,0.005977116117668723,0.05921241832736618,200->400,0.4370586817326737,0.34135351673292863,0.5692868943241499,0.7212164631191553
uniform,3,100,0.15885601641103864,0.4251066080748601,9.326787875866296,87.24257506841217,,,,,
uniform,3,200,0.09939384214228408,0.27098400827982644,6.95454310993986,50.99388947129567,100->200,0.6764913520226261,0.6496169695634096,0.42342456811157586,0.7747079722194566
uniform,3,400,0.06431920197784853,0.21684978337568073,5.947980734001081,34.970070085204014,200->400,0.6279069668582865,0.3215117135719592,0.22555576328543356,0.5442036938352033
uniform,4,100,0.16657316815106632,0.21635998333477544,1.4451607493933816,7.279714695066454,,,,,
uniform,4,200,0.09340869769823093,0.11332122508464468,0.8495354812111444,4.170963054632354,100->200,0.8345272309588059,0.933015587986965,0.7664838682239918,0.8035013765089095
uniform,4,400,0.06092746627944356,0.05412807127824698,0.4784184080940201,3.8024600804633777,200->400,0.6164641460239517,1.0659692163295584,0.8284013022928671,0.1334474311254978
uniform,5,100,0.7003483148437303,0.19478714709076958,27.77857821046435,6.413040669006876,,,,,
uniform,5,200,0.5800171613390422,0.2086041664423081,27.570090695325487,5.411979592260227,100->200,0.2719770311242224,-0.0988694878109733,0.010868746538060178,0.24485215707055394
uniform,5,400,0.3716717555538932,0.10670605706191506,14.645475009570356,2.9449864237036527,200->400,0.6420665291506666,0.9671259014148225,0.912649027111928,0.8778954158528305
